OverallQual,GrLivArea,MSZoning_RL,BsmtFinType2,MSZoning_RM,GarageCars,LotFrontage,MiscFeature_NA,YearBuilt,Condition1_Artery,ExterCond,LandSlope_Sev,Condition1_PosN,2ndFlrSF,Fence_GdWo,GarageType_2Types,Foundation_PConc,MSZoning_FV,TotRmsAbvGrd,Condition2_Norm,BsmtFinSF1,Condition2_PosA,LotConfig_FR3,Foundation_BrkTil,CentralAir_N,OpenPorchSF,Electrical_FuseA,Electrical_SBrkr,Neighborhood_Gilbert,Condition1_RRNn
7,1710,1,1,0,2,65.0,1,2003,0,3,0,0,854,0,0,1,0,8,1,706,0,0,0,0,61,0,1,0,0
6,1262,1,1,0,2,80.0,1,1976,0,3,0,0,0,0,0,0,0,6,1,978,0,0,0,0,0,0,1,0,0
7,1786,1,1,0,2,68.0,1,2001,0,3,0,0,866,0,0,1,0,6,1,486,0,0,0,0,42,0,1,0,0
7,1717,1,1,0,3,60.0,1,1915,0,3,0,0,756,0,0,0,0,7,1,216,0,0,1,0,35,0,1,0,0
8,2198,1,1,0,3,84.0,1,2000,0,3,0,0,1053,0,0,1,0,9,1,655,0,0,0,0,84,0,1,0,0
5,1362,1,1,0,2,85.0,0,1993,0,3,0,0,566,0,0,0,0,5,1,732,0,0,0,0,30,0,1,0,0
8,1694,1,1,0,2,75.0,1,2004,0,3,0,0,0,0,0,1,0,7,1,1369,0,0,0,0,57,0,1,0,0
7,2090,1,4,0,2,0.0,0,1973,0,3,0,1,983,0,0,0,0,7,1,859,0,0,0,0,204,0,1,0,0
7,1774,0,1,1,2,51.0,1,1931,1,3,0,0,752,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0
5,1077,1,1,0,1,50.0,1,1939,1,3,0,0,0,0,0,0,0,5,0,851,0,0,1,0,4,0,1,0,0
5,1040,1,1,0,1,70.0,1,1965,0,3,0,0,0,0,0,0,0,5,1,906,0,0,0,0,0,0,1,0,0
9,2324,1,1,0,3,85.0,1,2005,0,3,0,0,1142,0,0,1,0,11,1,998,0,0,0,0,21,0,1,0,0
5,912,1,1,0,1,0.0,1,1962,0,3,0,0,0,0,0,0,0,4,1,737,0,0,0,0,0,0,1,0,0
7,1494,1,1,0,3,91.0,1,2006,0,3,0,0,0,0,0,1,0,7,1,0,0,0,0,0,33,0,1,0,0
6,1253,1,1,0,1,0.0,1,1960,0,3,0,0,0,1,0,0,0,5,1,733,0,0,0,0,213,0,1,0,0
7,854,0,1,1,2,51.0,1,1929,0,3,0,0,0,0,0,0,0,5,1,0,0,0,1,0,112,1,0,0,0
6,1004,1,1,0,2,0.0,0,1970,0,3,0,0,0,0,0,0,0,5,1,578,0,0,0,0,0,0,1,0,0
4,1296,1,0,0,2,72.0,0,1967,0,3,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0
5,1114,1,1,0,2,66.0,1,2004,0,3,0,0,0,0,0,1,0,6,1,646,0,0,0,0,102,0,1,0,0
5,1339,1,1,0,1,70.0,1,1958,0,3,0,0,0,0,0,0,0,6,1,504,0,0,0,0,0,0,1,0,0
8,2376,1,1,0,3,101.0,1,2005,0,3,0,0,1218,0,0,1,0,9,1,0,0,0,0,0,154,0,1,0,0
7,1108,0,1,1,1,57.0,1,1930,0,3,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0
8,1795,1,1,0,2,75.0,1,2002,0,3,0,0,0,0,0,1,0,7,1,0,0,0,0,0,159,0,1,0,0
5,1060,0,1,1,2,44.0,1,1976,0,3,0,0,0,0,0,1,0,6,1,840,0,0,0,0,110,0,1,0,0
5,1060,1,5,0,1,0.0,1,1968,0,4,0,0,0,0,0,0,0,6,1,188,0,0,0,0,90,0,1,0,0
8,1600,1,1,0,3,110.0,1,2007,0,3,0,0,0,0,0,1,0,7,1,0,0,0,0,0,56,0,1,0,0
5,900,1,3,0,2,60.0,1,1951,0,3,0,0,0,0,0,0,0,5,1,234,0,0,0,0,32,0,1,0,0
8,1704,1,1,0,3,98.0,1,2007,0,3,0,0,0,0,0,1,0,7,1,1218,0,0,0,0,50,0,1,0,0
5,1600,1,1,0,1,47.0,1,1957,0,3,0,0,0,0,0,0,0,6,1,1277,0,0,0,0,258,0,1,0,0
4,520,0,1,1,1,60.0,1,1927,0,3,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,1,0,0
4,1317,0,1,0,1,50.0,1,1920,0,2,0,0,668,0,0,0,0,6,1,0,0,0,1,1,54,0,1,0,0
5,1228,1,1,0,1,0.0,1,1966,0,3,0,0,0,0,0,0,0,6,1,0,0,0,0,0,65,0,1,0,0
8,1234,1,1,0,2,85.0,1,2007,0,3,0,0,0,0,0,1,0,7,1,0,0,0,0,0,30,0,1,0,0
5,1700,1,1,0,2,70.0,1,1959,0,3,0,0,0,0,0,0,0,6,1,1018,0,0,0,0,38,0,1,0,0
9,1561,1,1,0,2,60.0,1,2005,0,3,0,0,0,0,0,1,0,6,1,1153,0,0,0,0,47,0,1,0,0
8,2452,1,1,0,3,108.0,1,2004,0,3,0,0,1320,0,0,1,0,9,1,0,0,0,0,0,32,0,1,0,0
5,1097,1,1,0,2,112.0,1,1994,0,3,0,0,0,0,0,1,0,6,1,0,0,0,0,0,64,0,1,0,0
5,1297,1,1,0,2,74.0,1,1954,0,3,0,0,0,0,0,0,0,5,1,1213,0,0,0,0,0,0,1,0,0
5,1057,1,1,0,1,68.0,1,1953,0,4,0,0,0,0,0,0,0,5,1,731,0,0,0,0,52,0,1,0,0
4,1152,1,0,0,0,65.0,1,1955,0,3,0,0,0,0,0,1,0,6,1,0,0,0,0,1,0,0,0,0,0
6,1324,1,1,0,2,84.0,1,1965,0,3,0,0,0,1,0,0,0,6,1,643,0,0,0,0,138,0,1,0,0
5,1328,1,1,0,1,115.0,1,1959,0,4,0,0,0,0,0,0,0,5,1,967,0,0,0,0,104,0,1,0,0
5,884,1,2,0,2,0.0,1,1983,0,3,0,0,0,0,0,0,0,5,1,747,0,0,0,0,0,0,1,0,0
5,938,1,4,0,1,0.0,1,1975,0,3,0,0,0,0,0,0,0,5,1,280,0,0,0,0,0,0,1,0,0
5,1150,1,4,0,1,70.0,1,1959,0,3,0,0,0,0,0,0,0,6,1,179,0,0,0,0,0,1,0,0,0
9,1752,1,1,0,2,61.0,1,2005,0,3,0,0,0,0,0,1,0,6,1,456,0,0,0,0,82,0,1,0,0
7,2149,1,1,0,2,48.0,1,2003,0,3,0,0,631,0,0,1,0,6,1,1351,0,0,0,0,43,0,1,0,0
8,1656,0,1,0,3,84.0,1,2006,0,3,0,0,0,0,0,1,1,7,1,24,0,0,0,0,146,0,1,0,0
4,1452,0,1,1,0,33.0,1,1920,0,3,0,0,716,0,0,0,0,8,1,0,0,0,1,0,0,0,1,0,0
5,955,1,1,0,1,66.0,1,1966,0,3,0,0,0,0,0,0,0,6,1,763,0,0,0,0,0,0,1,0,0
6,1470,1,1,0,2,0.0,1,1997,0,3,0,0,676,0,0,1,0,6,1,182,0,0,0,0,75,0,1,1,0
6,1176,0,1,1,2,52.0,0,1934,0,3,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,1,0,0
5,816,0,6,1,2,110.0,1,1963,0,3,0,0,0,0,0,0,0,5,1,104,0,0,0,1,0,0,1,0,1
9,1842,1,1,0,3,68.0,1,1981,0,3,0,0,0,0,0,0,0,5,1,1810,0,0,0,0,72,0,1,0,0
5,1360,1,1,0,2,60.0,1,1955,0,3,0,0,0,0,0,0,0,6,1,384,0,0,0,0,50,0,1,0,0
6,1425,1,1,0,2,100.0,1,1964,0,3,0,0,0,0,0,0,0,7,1,490,0,0,0,0,0,0,1,0,0
8,1739,0,1,0,2,24.0,1,1999,0,3,0,0,756,0,0,1,1,7,1,649,0,0,0,0,0,0,1,0,0
7,1720,1,1,0,2,89.0,1,2004,0,3,0,0,860,0,0,1,0,7,1,0,0,0,0,0,70,0,1,0,0
10,2945,1,1,0,3,66.0,1,2006,0,3,0,0,1519,0,0,1,0,10,1,0,0,0,0,0,0,0,1,0,0
5,780,1,1,0,1,60.0,1,1972,0,3,0,0,0,0,0,0,0,4,1,632,0,0,0,0,0,0,1,0,0
6,1158,1,1,0,2,63.0,1,2004,0,3,0,0,0,0,0,1,0,5,1,941,0,0,0,0,50,0,1,0,0
5,1111,0,1,1,1,60.0,1,1920,0,3,0,0,530,0,0,0,0,6,1,0,0,0,1,1,0,0,1,0,0
8,1370,1,1,0,2,44.0,1,2006,0,3,0,0,0,0,0,1,0,6,1,24,0,0,0,0,49,0,1,0,0
7,1710,0,1,1,2,50.0,1,1921,0,3,0,0,808,0,0,0,0,9,0,0,0,0,1,0,11,0,1,0,0
7,2034,1,1,0,2,0.0,1,1997,0,3,0,0,977,0,0,1,0,8,1,739,0,0,0,0,36,0,1,0,0
8,2473,1,1,0,3,76.0,1,2004,0,3,0,0,1330,0,0,1,0,9,1,0,0,0,0,0,151,0,1,0,0
7,2207,1,1,0,2,0.0,1,1970,0,3,0,0,0,0,0,0,0,7,1,912,0,0,0,0,0,0,1,0,0
7,1479,1,1,0,2,72.0,1,2003,0,3,0,0,0,0,0,1,0,7,1,1013,0,0,0,0,29,0,1,0,0
4,747,0,1,1,1,47.0,1,1945,1,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0
7,2287,1,1,0,2,81.0,1,1953,0,3,0,0,983,0,0,0,0,7,1,603,0,0,0,0,21,0,1,0,0
7,2223,1,1,0,2,95.0,1,1973,0,4,0,0,0,0,0,0,0,8,1,1880,0,0,0,0,0,0,1,0,0
4,845,1,1,0,2,69.0,1,1982,0,3,0,0,0,0,0,0,0,4,1,565,0,0,0,0,0,0,1,0,0
7,1718,1,1,0,2,74.0,1,1998,0,3,0,0,833,0,0,1,0,7,1,0,0,0,0,0,94,0,1,1,0
